product_title,product_type,net_quantity,total_sales
Oakville Rangers Puff Jacket,ovkjacket,13,2629.51
Rangers Tracksuit Top,ovktrack,8,768.32
Oakville Rangers Classic Toque,ovktoque,22,745.57
Oakville Rangers Streetwear Hoodie,ovkhood,7,587.27
Oakville Rangers Classic Hoodie,ovkhood,6,474.54
Rangers Tracksuit Bottom,ovktrack,7,466.69
Oakville Rangers SR Bag,ovkbag,2,293.78
Oakville Rangers Classic Sweatpants,ovksweatpants,3,220.32
Oakville Rangers Plaid Toque,ovktoque,6,203.34
I Go Bardown Custom Hoodie,bdhood,3,198.57
Oshawa Generals Custom Player T-Shirt,ohltee,4,180.76
Oakville Rangers Goalie Bag,ovkbag,1,158.19
Oakville Rangers Training Quarter Zip,ovkzip,2,146.88
Pink in the Rink Tie Dye Hoodie,bdhood,2,135.58
Oakville Rangers Play Sock,ovksock,8,134.33
Green Monster Hoodie,bdhood,2,130.78
Barrie Colts Custom Player T-Shirt,ohltee,3,122.37
Oakville Rangers Training Hat,ovktrain,3,115.86
I Go Bardown Custom T-Shirt,bdtee,3,98.6
Barrie Colts Face Off Hoodie,ohlhood,2,96
Guelph Storm Classic T-Shirt,ohltee,3,95.46
Oakville Rangers Coaches Bag,ovkbag,1,89.27
Oakville Rangers Garment Bag,ovkbag,2,88.14
Pineapple Bucket Hat,Bucket Hat,2,76.64
Oakville Rangers String Bag,ovkbag,3,74.58
Oshawa Generals Women's Glitter Hoodie,bdhood,1,73.44
Oakville Rangers Classic Crewneck,ovkcrewneck,1,73.44
Barrie Colts Classic Hoodie,ohlhood,1,67.79
Oshawa Generals Classic Hoodie,ohlhood,1,67.79
I am Your Father Hoodie,ohlhood,1,67.79
Blue Hoodie Youth,bdhood,1,67.79
Oshawa Generals Locker Room Hoodie,ohlhood,1,67.79
Sarnia Sting Classic T-Shirt,ohltee,2,67.78
Barrie Colts Classic T-Shirt,ohltee,2,67.78
Oakville Rangers Classic Scarf,ovkscarf,2,67.78
Sarnia Sting Triple Deke Hoodie- Black,ohlhood,1,64.99
Snipe city Hoodie,bdhood,1,62.99
North Bay Battalion Classic Hoodie,ohlhood,1,59.99
London Knights Face Off Hoodie,ohlhood,1,59.99
Erie Otters Face Off Hoodie,ohlhood,1,59.99
Guelph Storm Face Off Hoodie,ohlhood,1,58.75
Guelph Storm Locker Room Hoodie,ohlhood,1,58.75
Future Bulldogs Kids T-shirt,ohlkid,2,56.48
Ottawa 67's Classic Hoodie,ohlhood,1,54.24
London Knights Classic Hoodie,ohlhood,1,54.24
Sudbury Wolves Locker Room Hoodie,ohlhood,1,54.24
Ottawa 67's Breakaway Hoodie,ohlhood,1,54.23
Owen Sound Attack Face Off Hoodie,ohlhood,1,54.23
Sudbury Wolves Custom Player T-Shirt,ohltee,1,45.19
Erie Otters Custom Player T-Shirt,ohltee,1,41.99
PINEAPPLE SWIM TRUNKS,bdswim,1,39.54
Canadian Pride Bucket Hat,Bucket Hat,1,39.36
Mississauga Steelheads Custom Player T-Shirt,ohltee,1,38.87
Kingston Frontenacs Custom Player T-Shirt,ohltee,1,38.87
Oakville Rangers Training Shirt,ovktrain,1,36.78
Hamilton Bulldogs Custom Player T-Shirt,ohltee,1,36.16
Owen Sound Attack Custom Player T-Shirt,ohltee,1,36.16
Flamingo Top Shelf Bucket Hat,Bucket Hat,1,34.64
The Goalie Bucket Hat,Bucket Hat,1,34.64
Kitchener Rangers Locker Room T-Shirt,ohltee,1,34.49
Cali inspired T-Shirt,bdtee,1,33.89
Moose Tank Top,bdtop,1,33.89
Hamilton Bulldogs Classic T-Shirt,ohltee,1,33.89
Soo Greyhounds Breakaway T-Shirt,ohltee,1,33.89
Made in Canada Tank,bdtop,1,33.89
Tucan Sam Bucket Hat,Bucket Hat,1,33.89
Sandbagger Hat,bdhat,1,33.89
London Knights Classic T-Shirt,ohltee,1,33.89
Oakville Rangers Plaid Mittens,ovkmittens,1,33.89
Livin' The Dream Hat,bdhat,1,33.89
Kraken Hat,bdhat,1,31.49
Snipe City T-Shirt,bdtee,1,30.82
BD Black socks 3 pack,bdsock,2,29.36
Guelph Storm Triple Deke T-Shirt,ohltee,1,27.6
Guelph Storm Face Off T-Shirt,ohltee,1,27.6
Owen Sound Attack Face Off T-shirt,ohltee,1,27.12
Niagara IceDogs Triple Deke T-Shirt,ohltee,1,27.12
Niagara IceDogs Locker Room T-Shirt,ohltee,1,27.11
Ottawa 67's Classic T-Shirt,ohltee,1,27.11
BD White Socks 3 pack,bdsock,1,14.68
Black Performance Sock,bdsock,1,11.29
Tommy Two Tone Hat,bdhat,2,0
Rocky Mountain Hat,bdhat,1,0
Patrick CorduROY Hat,bdhat,1,0
Oakville Rangers Training Short,ovktrain,-1,-48.36
Guelph Storm Breakaway Hoodie,ohlhood,-1,-67.79
,,181,10734.37
