Sale ID,Date,Order ID,Order,Product,Gross sales,Discounts,Returns,Net sales,Taxes,Shipping,Total sales
1.42736E+13,2022-11-28T12:58:28-05:00,4.53289E+12,#1186,,0,0,1,0,1.56,12,13.56
1.42736E+13,2022-11-28T12:58:28-05:00,4.53289E+12,#1186,McMaster Faculty & Programs Hoodie 004,59.99,0,1,59.99,7.8,0,67.79
1.42736E+13,2022-11-28T12:58:28-05:00,4.53289E+12,#1186,McMaster Faculty & Programs T-shirt 007,29.99,0,1,29.99,3.9,0,33.89
1.42743E+13,2022-11-28T14:05:55-05:00,4.53312E+12,#1187,McMaster Faculty & Programs Hoodie 0010,59.99,-59.99,1,0,0,0,0
1.42743E+13,2022-11-28T14:05:55-05:00,4.53312E+12,#1187,,0,0,1,0,1.56,12,13.56
1.42792E+13,2022-11-28T22:59:04-05:00,4.53465E+12,#1188,,0,0,1,0,1.56,12,13.56
1.42792E+13,2022-11-28T22:59:04-05:00,4.53465E+12,#1188,Fanshawe Program Department Hoodie 09,59.99,0,1,59.99,7.8,0,67.79
1.42831E+13,2022-11-29T13:10:25-05:00,4.53595E+12,#1189,,0,0,1,0,1.56,12,13.56
1.42831E+13,2022-11-29T13:10:25-05:00,4.53595E+12,#1189,Fanshawe Program Department Hoodie 19,59.99,0,1,59.99,7.8,0,67.79
1.42835E+13,2022-11-29T14:28:49-05:00,4.53607E+12,#1190,,0,0,1,0,1.56,12,13.56
1.42835E+13,2022-11-29T14:28:49-05:00,4.53607E+12,#1190,Fanshawe Program Department Hoodie 13,59.99,0,1,59.99,7.8,0,67.79
1.42843E+13,2022-11-29T17:42:32-05:00,4.53633E+12,#1191,,0,0,1,0,1.56,12,13.56
1.42843E+13,2022-11-29T17:42:32-05:00,4.53633E+12,#1191,Fanshawe Program Department Hoodie 17,59.99,0,1,59.99,7.8,0,67.79
1.42848E+13,2022-11-29T19:45:02-05:00,4.53647E+12,#1192,,0,0,1,0,1.56,12,13.56
1.42848E+13,2022-11-29T19:45:02-05:00,4.53647E+12,#1192,McMaster Faculty & Programs T-shirt 003,29.99,0,1,29.99,3.9,0,33.89
1.42848E+13,2022-11-29T19:45:02-05:00,4.53647E+12,#1192,McMaster Faculty & Programs Hoodie 003,59.99,0,1,59.99,7.8,0,67.79
1.42848E+13,2022-11-29T19:45:02-05:00,4.53647E+12,#1192,McMaster Faculty & Programs T-shirt 003,29.99,0,1,29.99,3.9,0,33.89
1.42873E+13,2022-11-30T08:07:10-05:00,4.53734E+12,#1193,,0,0,1,0,1.56,12,13.56
1.42873E+13,2022-11-30T08:07:10-05:00,4.53734E+12,#1193,McMaster Faculty & Programs Hoodie 008,59.99,0,1,59.99,7.8,0,67.79
1.42888E+13,2022-11-30T14:08:37-05:00,4.53785E+12,#1194,Mount Saint Vincent University Grad T-Shirt,29.99,0,1,29.99,4.5,0,34.49
1.42888E+13,2022-11-30T14:08:37-05:00,4.53785E+12,#1194,,0,0,1,0,1.8,12,13.8
1.42893E+13,2022-11-30T15:52:39-05:00,4.538E+12,#1195,Fanshawe Program Department Hoodie 19,59.99,0,1,59.99,7.8,0,67.79
1.42893E+13,2022-11-30T15:52:39-05:00,4.538E+12,#1195,,0,0,1,0,1.56,12,13.56
1.42914E+13,2022-11-30T21:37:40-05:00,4.53867E+12,#1196,,0,0,1,0,1.56,12,13.56
1.42914E+13,2022-11-30T21:37:40-05:00,4.53867E+12,#1196,Fanshawe Program Department T-shirt 15,29.99,0,1,29.99,3.9,0,33.89
1.42961E+13,2022-12-01T15:16:56-05:00,4.54045E+12,#1197,Fanshawe Program Department T-shirt 08,29.99,0,1,29.99,3.9,0,33.89
1.42961E+13,2022-12-01T15:16:56-05:00,4.54045E+12,#1197,,0,0,1,0,1.56,12,13.56
1.42975E+13,2022-12-01T20:36:20-05:00,4.54093E+12,#1198,,0,0,1,0,1.56,12,13.56
1.42975E+13,2022-12-01T20:36:20-05:00,4.54093E+12,#1198,Fanshawe Program Department Hoodie 07,59.99,0,1,59.99,7.8,0,67.79
1.42976E+13,2022-12-01T21:09:21-05:00,4.54101E+12,#1199,McMaster Faculty & Programs Hoodie 005,59.99,0,1,59.99,7.8,0,67.79
1.42976E+13,2022-12-01T21:09:21-05:00,4.54101E+12,#1199,,0,0,1,0,1.56,12,13.56
1.43002E+13,2022-12-02T09:58:41-05:00,4.54195E+12,#1200,University of New Brunswick Hoodie 01,59.99,0,1,59.99,9,0,68.99
1.43002E+13,2022-12-02T09:58:41-05:00,4.54195E+12,#1200,,0,0,1,0,1.8,12,13.8
1.43024E+13,2022-12-02T18:20:07-05:00,4.54264E+12,#1201,Fanshawe Program Department Hoodie 08,59.99,0,1,59.99,7.8,0,67.79
1.43024E+13,2022-12-02T18:20:07-05:00,4.54264E+12,#1201,,0,0,1,0,1.56,12,13.56
1.43054E+13,2022-12-03T11:12:11-05:00,4.54372E+12,#1202,,0,0,1,0,1.56,12,13.56
1.43054E+13,2022-12-03T11:12:11-05:00,4.54372E+12,#1202,McMaster Faculty & Programs Hoodie 008,59.99,0,1,59.99,7.8,0,67.79
,,,,,,,1,,,,68.99
